Country,year,GDP,CO2 emissions,Population
Brazil,1990,3.90726E+11,197900,150706446
Brazil,1991,3.42609E+11,205480,153336445
Brazil,1992,3.28188E+11,207870,155900790
Brazil,1993,3.68296E+11,215260,158440875
Brazil,1994,5.2537E+11,222500,160980472
Brazil,1995,7.69333E+11,241280,163515328
Brazil,1996,8.50426E+11,262410,166037122
Brazil,1997,8.83206E+11,281330,168546707
Brazil,1998,8.63711E+11,290590,171039804
Brazil,1999,5.99642E+11,300960,173486281
Brazil,2000,6.55448E+11,313670,175873720
Brazil,2001,5.59991E+11,319380,178211881
Brazil,2002,5.09789E+11,317760.0098,180476685
Brazil,2003,5.58229E+11,310809.9976,182629278
Brazil,2004,6.69294E+11,328519.989,184722043
Brazil,2005,8.9163E+11,331690.0024,186797334
Brazil,2006,1.10764E+12,335619.9951,188820682
Brazil,2007,1.39708E+12,352559.9976,190779453
Brazil,2008,1.69582E+12,373630.0049,192672317
Brazil,2009,1.66702E+12,350000,194517549
Brazil,2010,2.20887E+12,397929.9927,196353492
Brazil,2011,2.6162E+12,418309.9976,198185302
Brazil,2012,2.46519E+12,454230.011,199977707
Brazil,2013,2.47281E+12,486839.9963,201721767
Brazil,2014,2.45599E+12,511619.9951,203459650
Brazil,2015,1.80221E+12,485339.9963,205188205
Brazil,2016,1.7957E+12,447079.9866,206859578
Brazil,2017,2.06351E+12,456489.9902,208504960
Brazil,2018,1.91695E+12,433989.9902,210166592
Brazil,2019,1.87327E+12,434299.9878,211782878
Russian Federation,1990,5.16814E+11,2163530,147969407
Russian Federation,1991,5.17963E+11,2136440,148394216
Russian Federation,1992,4.60291E+11,2030810,148538197
Russian Federation,1993,4.35084E+11,1880250,148458777
Russian Federation,1994,3.95077E+11,1685050,148407912
Russian Federation,1995,3.95537E+11,1635490,148375787
Russian Federation,1996,3.91725E+11,1601180,148160129
Russian Federation,1997,4.04929E+11,1489510,147915361
Russian Federation,1998,2.70955E+11,1487970,147670784
Russian Federation,1999,1.95907E+11,1523720,147214776
Russian Federation,2000,2.5971E+11,1563850,146596869
Russian Federation,2001,3.06602E+11,1567170,145976482
Russian Federation,2002,3.4547E+11,1565339.966,145306497
Russian Federation,2003,4.30348E+11,1610000,144648618
Russian Federation,2004,5.91017E+11,1600979.98,144067316
Russian Federation,2005,7.64017E+11,1611979.98,143518814
Russian Federation,2006,9.89931E+11,1654849.976,143049637
Russian Federation,2007,1.29971E+12,1658150.024,142805114
Russian Federation,2008,1.66085E+12,1655189.941,142742366
Russian Federation,2009,1.22264E+12,1546670.044,142785349
Russian Federation,2010,1.52492E+12,1617829.956,142849468
Russian Federation,2011,2.04593E+12,1699089.966,142960908
Russian Federation,2012,2.2083E+12,1675760.01,143201721
Russian Federation,2013,2.29247E+12,1632680.054,143506995
Russian Federation,2014,2.05924E+12,1611959.961,143819667
Russian Federation,2015,1.36348E+12,1592560.059,144096870
Russian Federation,2016,1.27679E+12,1571520.02,144342397
Russian Federation,2017,1.5742E+12,1594550.049,144496739
Russian Federation,2018,1.65733E+12,1661000,144477859
Russian Federation,2019,1.69311E+12,1703589.966,144406261
India,1990,3.20979E+11,563580,870452165
India,1991,2.70105E+11,607230,888941756
India,1992,2.88208E+11,626290,907574049
India,1993,2.79296E+11,651350,926351297
India,1994,3.27276E+11,685900,945261958
India,1995,3.60282E+11,737860,964279129
India,1996,3.92897E+11,774070,983281218
India,1997,4.15868E+11,819270,1002335230
India,1998,4.21351E+11,836270,1021434576
India,1999,4.5882E+11,901330,1040500054
India,2000,4.68395E+11,937860,1059633675
India,2001,4.85441E+11,953540,1078970907
India,2002,5.14938E+11,985450.0122,1098313039
India,2003,6.07699E+11,1011770.02,1117415123
India,2004,7.09149E+11,1085670.044,1136264583
India,2005,8.20382E+11,1136469.971,1154638713
India,2006,9.4026E+11,1215209.961,1172373788
India,2007,1.21674E+12,1336739.99,1189691809
India,2008,1.1989E+12,1424380.005,1206734806
India,2009,1.34189E+12,1564880.005,1223640160
India,2010,1.67562E+12,1659979.98,1240613620
India,2011,1.82305E+12,1756739.99,1257621191
India,2012,1.82764E+12,1909439.941,1274487215
India,2013,1.85672E+12,1972430.054,1291132063
India,2014,2.03913E+12,2147110.107,1307246509
India,2015,2.10359E+12,2158020.02,1322866505
India,2016,2.2948E+12,2195250,1338636340
India,2017,2.65147E+12,2320409.912,1354195680
India,2018,2.70293E+12,2451929.932,1369003306
India,2019,2.83155E+12,2456300.049,1383112050
China,1990,3.60858E+11,2173360,1135185000
China,1991,3.83373E+11,2302180,1150780000
China,1992,4.26916E+11,2418180,1164970000
China,1993,4.44731E+11,2645410,1178440000
China,1994,5.64325E+11,2767670,1191835000
China,1995,7.34548E+11,3088620,1204855000
China,1996,8.63747E+11,3070510,1217550000
China,1997,9.61604E+11,3134110,1230075000
China,1998,1.02904E+12,3236280,1241935000
